,dt,channel,username,message,neg,neu,pos,compound
1727,2021-05-01 18:55:16,doublelift,indogingigi,RIVEN Pog,0.0,0.333,0.667,0.25
1728,2021-05-01 18:55:16,doublelift,adaptmfer,POGGERS IT'S A WIN ANGLE,0.0,0.341,0.659,0.7003
1729,2021-05-01 18:55:16,doublelift,sungiant_,planned,0.0,1.0,0.0,0.0
1730,2021-05-01 18:55:18,doublelift,hugh_lovett,he lives AngelThump,0.0,1.0,0.0,0.0
1731,2021-05-01 18:55:18,doublelift,hd_jank,EZ baited,0.0,0.236,0.764,0.4995
1732,2021-05-01 18:55:18,doublelift,adimininastr0,pepeD,0.0,1.0,0.0,0.0
1733,2021-05-01 18:55:21,doublelift,atyi_g,Lmao planed,0.0,0.204,0.796,0.5994
1734,2021-05-01 18:55:22,doublelift,noah_obach,PLANNED,0.0,1.0,0.0,0.0
1735,2021-05-01 18:55:24,doublelift,rbdz,tactical Pog,0.0,0.333,0.667,0.25
1736,2021-05-01 18:55:25,doublelift,erecteddy,all u kekw,0.0,1.0,0.0,0.0
1737,2021-05-01 18:55:25,doublelift,yeebruh,all planned,0.0,1.0,0.0,0.0
1738,2021-05-01 18:55:27,doublelift,cr1s2,EZ Clap,0.0,0.236,0.764,0.4995
1739,2021-05-01 18:55:27,doublelift,armtunaham,GG,0.0,0.0,1.0,0.296
1740,2021-05-01 18:55:28,doublelift,alexh4308,calculated XD,0.0,0.181,0.819,0.6739
1741,2021-05-01 18:55:29,doublelift,pvt_davids,Calculated seq200,0.0,1.0,0.0,0.0
1742,2021-05-01 18:55:30,doublelift,illusiiions,YEP,0.0,0.0,1.0,0.296
1743,2021-05-01 18:55:30,doublelift,adaptmfer,KEKW,0.0,1.0,0.0,0.0
1744,2021-05-01 18:55:33,doublelift,adimininastr0,KEKW,0.0,1.0,0.0,0.0
1745,2021-05-01 18:55:35,doublelift,mikeshoes,Poggers,0.0,0.0,1.0,0.25
1746,2021-05-01 18:55:36,doublelift,shzhnuh,lol,0.0,0.0,1.0,0.4215
