dt,channel,username,message
2021-04-27 18:31:45,loltyler1,ahmedinhojr,BOBBY SAYING THEY FANBOYING HIM BRUH LIKE WHO ARE U EVEN NO ONE IS A FAN OF U
2021-04-27 18:31:47,loltyler1,elpachow,KEKW TAKE GROMP
2021-04-27 18:31:47,loltyler1,trashbunny_,TARZ KEKW
2021-04-27 18:31:47,loltyler1,xicsor23,baroooooooooooooooon
2021-04-27 18:31:48,loltyler1,riptide1204,BigBrother
2021-04-27 18:31:49,loltyler1,shabba2x,Tarzan say something nice
2021-04-27 18:31:50,loltyler1,fpspsychoyt,@TamedTurtles fpspsyHey <3
2021-04-27 18:31:51,loltyler1,1happyguy,Raisin
2021-04-27 18:31:53,loltyler1,julio123nitsh,KKona a
2021-04-27 18:31:54,loltyler1,crizzchin,raisin
2021-04-27 18:31:57,loltyler1,yuyuyuna,no raisin happythoGiggle
2021-04-27 18:31:58,loltyler1,fadel966,tarzned is seriuos about farm damn
2021-04-27 18:32:00,loltyler1,rattledlol,@Macaiyla you like Nier?
2021-04-27 18:32:03,loltyler1,sevpaii,Level 14 monkaW
2021-04-27 18:32:05,loltyler1,asteriamateria,Kappa
2021-04-27 18:32:07,loltyler1,hoosin,@ahmedinhojr shut your ass up BOBBY IS THE GOAT
2021-04-27 18:32:07,loltyler1,daxter_10x,EZ
2021-04-27 18:32:09,loltyler1,xynch,Kappa
2021-04-27 18:32:11,loltyler1,dr_ownsalot,207 cs jg
2021-04-27 18:32:13,loltyler1,constructedalternatively,DonoWall
2021-04-27 18:32:15,loltyler1,elpachow,KEKW THIS MAN'S EGO KEKW
2021-04-27 18:32:17,loltyler1,paiin65,@Macaiyla 4Love
2021-04-27 18:32:19,loltyler1,dr_devilcs,NOT RUSHING DEATHCAP Pog
2021-04-27 18:32:20,loltyler1,firga4,TEAM MENTAL BOOM KEKW
2021-04-27 18:32:23,loltyler1,macaiyla,@JordanDrinksWater i just got home peepoSad
2021-04-27 18:32:25,loltyler1,fpspsychoyt,@stevenpak SUPSUP
2021-04-27 18:32:25,loltyler1,ceabass,KAYLA HYPERS
2021-04-27 18:32:27,loltyler1,ultimate_rage03,what is that CS DAmn
2021-04-27 18:32:29,loltyler1 :@Macaiyla how are u today?,albizzare,)
2021-04-27 18:32:30,loltyler1,lolend,NANI
2021-04-27 18:32:30,loltyler1,abdo_mai,TARDY = WIN KEKW TARDY = WIN KEKW TARDY = WIN KEKW TARDY = WIN KEKW TARDY = WIN KEKW TARDY = WIN KEKW TARDY = WIN KEKW TARDY = WIN KEKW
2021-04-27 18:32:30,loltyler1,bugi_gap,WAIT FOR IT CHAT PepeLaugh TEAM MENTAL PepeLaugh
2021-04-27 18:32:31,loltyler1,fpspsychoyt,@Wuju_Highland3r @stevenpak fpspsyHey
2021-04-27 18:32:32,loltyler1,mukney,makayla Pog
2021-04-27 18:32:32,loltyler1,wuju_highland3r,@Macaiyla peepoHey
2021-04-27 18:32:33,loltyler1,macaiyla,hey chat peepoHey
2021-04-27 18:32:35,loltyler1,gokupr,@Macaiyla 1K Chair? Pog
2021-04-27 18:32:36,loltyler1,luminouswaffle,Where did graves get all that cs??
2021-04-27 18:32:36,loltyler1,mrdrslayer,pepeLaugh OH NO NO NO
2021-04-27 18:32:38,loltyler1,silentezy,215 cs in 19 mins wtf
2021-04-27 18:32:40,loltyler1,syberseall,hellloo
2021-04-27 18:32:41,loltyler1,peepance,pepoHey
2021-04-27 18:32:41,loltyler1,slimebelge,peepoHey Macaiyla
2021-04-27 18:32:41,loltyler1,xynch,peepoHey
2021-04-27 18:32:43,loltyler1,mastermindx421,BUSSERS
2021-04-27 18:32:44,loltyler1,piggyjpg,peepoHey
