id,dt,channel,username,message,neg,neu,pos,compound
169,5/1/2021 17:50,doublelift,nightbot,Check Doublelift's Socials! Youtube: youtube.com/c/Doublelift Twitter: twitter.com/Doublelift1 Instagram: instagram.com/yiliangpeng,0,1,0,0
170,5/1/2021 17:50,doublelift,munieru62l,I hope so,0,0.408,0.592,0.4404
171,5/1/2021 17:50,doublelift,vladtheimpaler121,that shit was slammin,0.545,0.455,0,-0.5574
172,5/1/2021 17:50,doublelift,illuminataye,What sensitivity does Dbllift play anyone know,0,0.714,0.286,0.34
173,5/1/2021 17:50,doublelift,ikb_gaming,catJAM,0,1,0,0
174,5/1/2021 17:50,doublelift,ouillaelo,"Heh, I like this Trist skin. Lookin like a lalafell",0.118,0.515,0.368,0.5267
175,5/1/2021 17:50,doublelift,rozkie,lets replace cracked with fetch,0,1,0,0
176,5/1/2021 17:50,doublelift,itsjustvalk,@Zoroporo he'll be there,0,1,0,0
177,5/1/2021 17:50,doublelift,sebalopez_,catJAM,0,1,0,0
178,5/1/2021 17:50,doublelift,moogleg,D:,0,0,1,0.296
179,5/1/2021 17:50,doublelift,suedandles,D:,0,0,1,0.296
180,5/1/2021 17:50,doublelift,livelydeath1,damn dirty lol,0.667,0,0.333,-0.4215
181,5/1/2021 17:50,doublelift,sipoevelynn,D:,0,0,1,0.296
182,5/1/2021 17:50,doublelift,gotgame40,D:,0,0,1,0.296
183,5/1/2021 17:50,doublelift,bumluffa,daddy?,0,1,0,0
184,5/1/2021 17:50,doublelift,doughboyphresh,@Rozkie that's so fetch,0,1,0,0
185,5/1/2021 17:50,doublelift,evhybrid,I love it when you talk dirty,0.24,0.413,0.347,0.3182
186,5/1/2021 17:50,doublelift,maloney_c,gachiHYPER,0,1,0,0
187,5/1/2021 17:51,doublelift,sipoevelynn,i can't breathe,0,1,0,0
188,5/1/2021 17:51,doublelift,rozkie,dlift is so fetch,0,1,0,0
189,5/1/2021 17:51,doublelift,beasttings,that tp tho,0,1,0,0
190,5/1/2021 17:51,doublelift,homesllice,chaddest of chads,0,1,0,0
191,5/1/2021 17:51,doublelift,suedandles,Probably not the best expression to use recently,0.325,0.675,0,-0.5216
192,5/1/2021 17:51,doublelift,eskalation792,na tp,0,1,0,0
193,5/1/2021 17:51,doublelift,moogleg,vision Kreygasm,0,0.333,0.667,0.25
